File,LineNumber,src
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,36,import java.util.concurrent.SynchronousQueue;
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,225,"    executor = new ThreadPoolExecutor(1, numThreads,"
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,227,        new SynchronousQueue<Runnable>());
src/main/java/org/apache/hadoop/hbase/mapreduce/TableInputFormatBase.java,34,import org.apache.hadoop.hbase.HConstants;
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,1148,        if (rs.isSplitting() || rs.isSplit()) {
src/main/java/org/apache/hadoop/hbase/master/handler/ServerShutdownHandler.java,297,            if (rit != null && !rit.isClosing() && !rit.isPendingClose()) {
src/test/java/org/apache/hadoop/hbase/master/TestAssignmentManager.java,408,"      processServerShutdownHandler(ct, am);"
src/test/java/org/apache/hadoop/hbase/master/TestAssignmentManager.java,463,"      processServerShutdownHandler(ct, am);"
src/test/java/org/apache/hadoop/hbase/master/TestAssignmentManager.java,483,"  private void processServerShutdownHandler(CatalogTracker ct, AssignmentManager am)"
src/test/java/org/apache/hadoop/hbase/master/TestAssignmentManager.java,493,"    Result r = Mocking.getMetaTableRowResult(REGIONINFO, SERVERNAME_A);"
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,459,      int n = 0;
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,460,"      for (Map.Entry<byte[], Object> logWritersEntry : logWriters.entrySet()) {"
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,461,        Object o = logWritersEntry.getValue();
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,462,        long t1 = EnvironmentEdgeManager.currentTimeMillis();
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,463,        if ((t1 - last_report_at) > period) {
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogSplitter.java,464,          last_report_at = t;
